ID,Title,Author,short_cite,exp_num,part_group,part_num,paper_age,paper_age_mo,paper_age_units,mean_age_months,Informative_syntax,animate_syntax,common_proper,count_mass,matching category,alternative category1,alternative category2,alternative category3,similarity_to_target,Exemp1_animate,solidity,solid ,exemp_sight,exemp_label_repeat,Dimensionality,Vocabulary,shape_vocab,Exposure,training_type,training_trials,country,language,Response mode,test trials,task type,test_obj_num,child_type1,monolingual,deformation_level,context,complexity,additional notes,mean,mean_proportion,SE,SD,t,df,F,r,d,d_var,d_se,extraction
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,3,48,3.8y,,years,44,informative,,common,count,,material,,,,inanimate,substance,substance,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,0.81,0.03,0.00,table
125,A crosslinguistic study of children's noun learning: The case of object and substance words,"Kaveri Subrahmanyam, Hsin-Hua Nancy Chen","Subrahmanyam, K. et al 2006",1,4,48,4.6y,,years,54,informative,,common,count,,material,,,,inanimate,substance,substance,yes,,3D,,,test only,,,us,english,verbal,36,yes/no,,TD,monolingual,,,,,,,,,,,,,0.27,0.02,0.00,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,1,1,12,3.5y,,years,41,informative,,common,count,,material,,,,inanimate,solid,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,1,TD,monolingual,,,,,,,,,,,,,4.19,0.81,0.07,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,1,2,12,5.4y,,years,64,informative,,common,count,,material,,,,inanimate,solid,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,1,TD,monolingual,,,,,,,,,,,,,3.16,0.50,0.04,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,1,1,12,3.5y,,years,41,informative,,common,count,,material,,,,inanimate,solid,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,1,TD,monolingual,,,,,,,,,,,,,1.96,0.24,0.02,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,1,2,12,5.4y,,years,64,informative,,common,count,,material,,,,inanimate,solid,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,1,TD,monolingual,,,,,,,,,,,,,0.22,0.09,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,2,1,12,2.6y,,years,30,informative,,common,count,,function,,,,inanimate,solid,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,,TD,monolingual,,,,,,,,,,,,,0.91,0.12,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,2,2,12,3.7y,,years,43,informative,,common,count,,function,,,,inanimate,solid,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,,TD,monolingual,,,,,,,,,,,,,1.13,0.14,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,2,3,12,5.5y,,years,65,informative,,common,count,,function,,,,inanimate,solid,solid,yes,,3D,,,no_function,,,us,english,verbal,9,yes/no,,TD,monolingual,,,,,,,,,,,,,1.23,0.15,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,2,1,12,2.6y,,years,30,informative,,common,count,,function,,,,inanimate,solid,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,,TD,monolingual,,,,,,,,,,,,,0.99,0.12,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,2,2,12,3.7y,,years,43,informative,,common,count,,function,,,,inanimate,solid,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,,TD,monolingual,,,,,,,,,,,,,1.13,0.14,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,2,3,12,5.5y,,years,65,informative,,common,count,,function,,,,inanimate,solid,solid,yes,,3D,,,function,,,us,english,verbal,9,yes/no,,TD,monolingual,,,,,,,,,,,,,-0.78,0.11,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,3,1,12,2.6y,,years,30,informative,,common,count,,,,,,,solid,solid ,,,3D,,,,,,us,english,verbal,,yes/no,,TD,monolingual,,,,,,,,,,,,,1.05,0.13,0.01,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,3,2,11,3.4y,,years,40,informative,,common,count,,,,,,,solid,solid ,,,3D,,,,,,us,english,verbal,,yes/no,,TD,monolingual,,,,,,,,,,,,,2.53,0.38,0.03,table
128,"Object shape, object function, and object name","Barbara Landau, Linda Smith, Susan Jones",Landau et al 1998,3,3,11,5.3y,,years,63,informative,,common,count,,,,,,,solid,solid ,,,3D,,,,,,us,english,verbal,,yes/no,,TD,monolingual,,,,,,,,,,,,,1.32,0.17,0.01,table
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2m,,months,33.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,-0.05,0.07,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 m+ 4m,,months,37.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.36,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 8,,months,41.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.12,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 12,,months,45.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,-0.10,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5m,,months,20.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.12,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 4,,months,24.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.65,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 8,,months,28.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.39,0.13,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5+12,,months,32.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.11,0.11,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2m,,months,33.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.56,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 m+ 4m,,months,37.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.46,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 8,,months,41.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.99,0.11,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 12,,months,45.2,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.44,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5m,,months,20.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.43,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 4,,months,24.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.23,0.12,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 8,,months,28.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.73,0.17,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 12,,months,32.5,informative,,common,count,,,color,,,inanimate,solid,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TD,monolingual,,,,,,,,,,,,,3.02,0.37,0.03,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TD,monolingual,,,complex,,,,,,,,,,0.17,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TD,monolingual,,,complex,,,,,,,,,,-0.21,0.09,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TD,monolingual,,,simple,,,,,,,,,,0.58,0.10,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TD,monolingual,,,simple,,,,,,,,,,-0.13,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TD,monolingual,,,complex,,,,,,,,,,-0.79,0.11,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TD,monolingual,,,complex,,,,,,,,,,-0.31,0.09,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TD,monolingual,,,simple ,,,,,,,,,,-0.44,0.09,0.00,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TD,monolingual,,,simple,,,,,,,,,,-0.42,0.09,0.00,graph
136,Word learning is ‘smart’: evidence that conceptual information affects preschoolers' extension of novel words,"Amy E Booth, Sandra R Waxman",Booth et al 2002,1,,24,"43,09m",,months,43.09,informative,,common,count,,shape_change,,,,inanimate,solid,solid,yes,,3D,,,vignette_animate,,,us,english,verbal,8,yes/no,2,TD,monolingual,,,,,,,,,,,,,0.27,0.04,0.00,graph
136,Word learning is ‘smart’: evidence that conceptual information affects preschoolers' extension of novel words,"Amy E Booth, Sandra R Waxman",Booth et al 2002,1,,24,"43,09m",,months,43.09,informative,,common,count,,shape_change,,,,inanimate,solid,solid,yes,,3D,,,vignette_artifact,,,us,english,verbal,8,yes/no,2,TD,monolingual,,,,,,,,,,,,,1.09,0.07,0.00,graph
136,Word learning is ‘smart’: evidence that conceptual information affects preschoolers' extension of novel words,"Amy E Booth, Sandra R Waxman",Booth et al 2002,2,,12,41.86m,,months,41.86,informative,,common,count,,shape_change,,,,inanimate,solid,solid,yes,,3D,,,vignette_artifact,,,us,english,verbal,8,yes/no,2,TD,monolingual,,,,,,,,,,,,,0.93,0.12,0.00,graph
139,Children's theories of word meaning: The role of shape similarity in early acquisition,"Mutsumi Imai, Dedre Gentner, Nobuko Uchida",Imai et al 1994,1,,30,3.9y,,months,46.8,informative,,common,count,,taxonomic,thematic,,,inanimate,solid,solid,,,2D,,,familiarization,,,us,english,,9,forced choice,3,TD,monolingual,,,,,,,,,,,,,2.41,0.13,0.00,graph
139,Children's theories of word meaning: The role of shape similarity in early acquisition,"Mutsumi Imai, Dedre Gentner, Nobuko Uchida",Imai et al 1994,1,,30,5.5y,,months,66,informative,,common,count,,taxonomic,thematic,,,inanimate,solid,solid,,,2D,,,familiarization,,,us,english,,9,forced choice,3,TD,monolingual,,,,,,,,,,,,,-0.89,0.05,0.00,graph
140,The role of shape similarity in toddlers' lexical extensions,"Diane Poulin-Dubois, Ilana Frank, Susan A. Graham, Abbie Elkin",Diane Poulin-Dubois et al 2010,2,,48,24.48m,,months,24.48,informative,,common,count,,taxonomic,,,,inanimate,solid,solid,yes,,2D,,,test only,,,us,english,picking,,forced choice,2,TD,monolingual,,,,,,,,,1.75,47,,,0.51,0.02,#REF!,t-test
140,the role of shape similarity in toddlers' lexical extensions,"Diane Poulin-Dubois, Ilana Frank, Susan A. Graham, Abbie Elkin",Diane Poulin-Dubois et al 2010,3,,39,18.67m,,months,18.67,informative,,common,count,,taxonomic,,,,inanimate,solid,solid,no,,2D,100,,test only,,,us,english,looking,10,forced choice,2,TD,monolingual,,,,,,,,,3,38,,,0.96,0.04,0.00,t-test
145,The shape-bias in Spanish-speaking children and its relationship to vocabulary.,"Hahn, Erin R. , Cantrell, Lisa","Hahn, E. R. et al 2012",1,,39,2.7y,,years,32.4,informative,,common,count,,material,color,,,inanimate,solid,solid,no,6,3D,70.28,,familiarization,,,us,english,,2,forced choice,3,TD,monolingual,,,,,,,,,1.27,38,,,0.41,0.03,0.00,t-test
145,The shape-bias in Spanish-speaking children and its relationship to vocabulary.,"Hahn, Erin R. , Cantrell, Lisa","Hahn, E. R. et al 2012",1,,30,2.6y,,years,31.2,informative,,common,count,,material,color,,,inanimate,solid,solid,no,6,3D,61.29,,familiarization,,,us/mexico,spanish,,2,forced choice,3,TD,monolingual,,,,,,,,,5.21,29,,,1.90,0.09,0.00,t-test
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,1,17,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,solid,,,3D,0-25,,familiarization,,,us,english,,4,forced choice,2,TD,monolingual,,,,,,,,,,,,,-0.52,0.07,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,2,23,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,solid,,,3D,26-50,,familiarization,,,us,english,,4,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.38,0.05,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,3,19,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,solid,,,3D,50+,,familiarization,,,us,english,,4,forced choice,2,TD,monolingual,,,,,,,,,,,,,-0.53,0.06,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,1,17,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,solid,,,3D,0-25,,familiarization,,,us,english,,4,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.82,0.08,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,2,23,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,solid,,,3D,26-50,,familiarization,,,us,english,,4,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.63,0.05,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,3,19,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,solid,,,3D,50+,,familiarization,,,us,english,,4,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.36,0.06,0.00,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,1,14,"2,1y",,,25,neutral,,common,neutral,,material,,,,inanimate,solid,complex solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,complex,,,,,,,,,,0.83,0.10,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,2,14,"2,8y",,,32,neutral,,common,neutral,,material,,,,inanimate,solid,complex solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.19,0.12,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,3,14,"4,2y",,,50,neutral,,common,neutral,,material,,,,inanimate,solid,complex solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,2.82,0.36,0.03,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,1,14,"2,1y",,,25,neutral,,common,neutral,,material,,,,inanimate,solid,simple solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,simple,,,,,,,,,,0.39,0.08,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,2,14,"2,8y",,,32,neutral,,common,neutral,,material,,,,inanimate,solid,simple solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.58,0.08,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,3,14,"4,2y",,,50,neutral,,common,neutral,,material,,,,inanimate,solid,simple solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.50,0.15,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,1,14,"2,1y",,,25,neutral,,common,neutral,,material,,,,inanimate,substance,substance,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,substance,,,,,,,,,,-0.34,0.08,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,2,14,"2,8y",,,32,neutral,,common,neutral,,material,,,,inanimate,substance,substance,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.08,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,3,14,"4,2y",,,50,neutral,,common,neutral,,material,,,,inanimate,substance,substance,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,-0.10,0.07,0.00,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,4,14,"2,1y",,,25,neutral,,common,neutral,,material,,,,inanimate,solid,complex solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TD,monolingual,,,complex,,,,,,,,,,0.71,0.09,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,5,15,"2,8y",,,32,neutral,,common,neutral,,material,,,,inanimate,solid,complex solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,1.87,0.18,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,6,14,"4,2y",,,50,neutral,,common,neutral,,material,,,,inanimate,solid,complex solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TD,monolingual,,,,,,,,,,,,,0.75,0.09,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,4,14,"2,1y",,,25,neutral,,common,neutral,,material,,,,inanimate,solid,simple solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TD,monolingual,,,simple,,,,,,,,,,0.00,0.07,0.01,graph
