ID,Title,Author,short_cite,exp_num,part_group,part_num,paper_age_y,paper_age_mo,paper_age_units,mean_age_months,Informative_syntax,animate_syntax,common_proper,count_mass,matching category,alternative category1,alternative category2,alternative category3,similarity_to_target,Exemp1_animate,solid ,exemp_sight,exemp_label_repeat,Dimensionality,Vocabulary,shape_vocab,Exposure,training_type,training_trials,country,language,Response mode,test trials,task type,test_obj_num,child_type1,monolingual,deformation_level,context,complexity,additional notes,mean,mean_proportion,SE,SD,t,df,F,r,d,d_var,d_se,extraction
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 8,,months,28.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TL,monolingual,,,,,,,,,,,,,1.39,0.13,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5+12,,months,32.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,looking,,forced choice,2,TL,monolingual,,,,,,,,,,,,,1.11,0.11,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2m,,months,33.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.56,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 m+ 4m,,months,37.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.46,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 8,,months,41.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.99,0.11,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,1,14,33.2 + 12,,months,45.2,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,ASD,monolingual,,,,,,,,,,,,,0.44,0.08,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5m,,months,20.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.43,0.07,0.00,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 4,,months,24.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TL,monolingual,,,,,,,,,,,,,1.23,0.12,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 8,,months,28.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TL,monolingual,,,,,,,,,,,,,1.73,0.17,0.01,graph
131,Do children with autism spectrum disorders show a shape bias in word learning?,"Saime Tek, Gul Jaffery, Deborah Fein, Letitia R. Naigles",Saime Tek et al 2008,1,2,15,20.5 + 12,,months,32.5,informative,,common,count,,,color,,,inanimate,solid,,,3D,,,,,,us,english,pointing,,forced choice,2,TL,monolingual,,,,,,,,,,,,,3.02,0.37,0.03,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TL,monolingual,,,complex,,,,,,,,,,0.05,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TL,monolingual,,,complex,,,,,,,,,,-0.06,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TL,monolingual,,,simple,,,,,,,,,,0.17,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,1,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,,,,inanimate,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,forced choice,2,TL,monolingual,,,simple,,,,,,,,,,-0.04,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TL,monolingual,,,complex,,,,,,,,,,-0.23,0.09,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TL,monolingual,,,complex,,,,,,,,,,-0.09,0.08,0.01,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,1,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,yes,yes,2D,,,no_context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TL,monolingual,,,simple ,,,,,,,,,,-0.13,0.08,0.00,graph
134,The absence of a shape bias in children's word learning.,"Andrei Cimpian, Ellen M Markman",Cimpian et al 2005,2,2,12,4.4y,,years,52.8,informative,,common,count,,taxonomic,empty,,,inanimate,solid,yes,yes,2D,,,context + familiarization,,,us,english,pointing w/stickers,8,free choice,2,TL,monolingual,,,simple,,,,,,,,,,-0.12,0.08,0.00,graph
136,Word learning is ‘smart’: evidence that conceptual information affects preschoolers' extension of novel words,"Amy E Booth, Sandra R Waxman",Cimpian et al 2005,1,,24,"43,09m",,months,43.09,informative,,common,count,,shape_change,,,,inanimate,solid,yes,,3D,,,vignette_animate,,,us,english,verbal,8,yes/no,2,TL,monolingual,,,,,,,,,,,,,-0.36,0.04,0.00,graph
136,Word learning is ‘smart’: evidence that conceptual information affects preschoolers' extension of novel words,"Amy E Booth, Sandra R Waxman",Cimpian et al 2005,1,,24,"43,09m",,months,43.09,informative,,common,count,,shape_change,,,,inanimate,solid,yes,,3D,,,vignette_artifact,,,us,english,verbal,8,yes/no,2,TL,monolingual,,,,,,,,,,,,,-0.03,0.04,0.00,graph
136,Word learning is ‘smart’: evidence that conceptual information affects preschoolers' extension of novel words,"Amy E Booth, Sandra R Waxman",Cimpian et al 2005,2,,12,41.86m,,months,41.86,informative,,common,count,,shape_change,,,,inanimate,solid,yes,,3D,,,vignette_artifact,,,us,english,verbal,8,yes/no,2,TL,monolingual,,,,,,,,,,,,,0.32,0.09,0.00,graph
139,Children's theories of word meaning: The role of shape similarity in early acquisition,"Mutsumi Imai, Dedre Gentner, Nobuko Uchida",Imai et al 1994,1,,30,3.9y,,months,46.8,informative,,common,count,,taxonomic,thematic,,,inanimate,solid,,,2D,,,familiarization,,,us,english,,9,forced choice,3,TL,monolingual,,,,,,,,,,,,,2.41,0.13,0.00,graph
139,Children's theories of word meaning: The role of shape similarity in early acquisition,"Mutsumi Imai, Dedre Gentner, Nobuko Uchida",Imai et al 1994,1,,30,5.5y,,months,66,informative,,common,count,,taxonomic,thematic,,,inanimate,solid,,,2D,,,familiarization,,,us,english,,9,forced choice,3,TL,monolingual,,,,,,,,,,,,,-0.89,0.05,0.00,graph
140,The role of shape similarity in toddlers' lexical extensions,"Diane Poulin-Dubois, Ilana Frank, Susan A. Graham, Abbie Elkin",Diane Poulin-Dubois et al 2010,2,,48,24.48m,,months,24.48,informative,,common,count,,taxonomic,,,,inanimate,solid,yes,,2D,,,test only,,,us,english,picking,,forced choice,2,TL,monolingual,,,,,,,,,1.75,47,,,0.51,0.02,0.00,t-test
140,the role of shape similarity in toddlers' lexical extensions,"Diane Poulin-Dubois, Ilana Frank, Susan A. Graham, Abbie Elkin",Diane Poulin-Dubois et al 2010,3,,39,18.67m,,months,18.67,informative,,common,count,,taxonomic,,,,inanimate,solid,no,,2D,100,,test only,,,us,english,looking,10,forced choice,2,TL,monolingual,,,,,,,,,3,38,,,0.96,0.04,0.00,t-test
140,the role of shape similarity in toddlers' lexical extensions,"Diane Poulin-Dubois, Ilana Frank, Susan A. Graham, Abbie Elkin",Diane Poulin-Dubois et al 2010,3,,39,18.67m + 7 days,,months,,informative,,common,count,,taxonomic,,,,inanimate,solid,no,,2D,,,test only,,,us,english,looking,10,forced choice,2,TL,monolingual,,,,"five triads, same triad was shown twice",,,,,,,,,,,0.00,t-test
145,The shape-bias in Spanish-speaking children and its relationship to vocabulary.,"Hahn, Erin R. , Cantrell, Lisa","Hahn, E. R. et al 2012",1,,39,2.7y,,years,32.4,informative,,common,count,,material,color,,,inanimate,solid,no,6,3D,70.28,,familiarization,,,us,english,,2,forced choice,3,TL,monolingual,,,,,,,,,1.27,38,,,0.41,0.03,0.00,t-test
145,The shape-bias in Spanish-speaking children and its relationship to vocabulary.,"Hahn, Erin R. , Cantrell, Lisa","Hahn, E. R. et al 2012",1,,30,2.6y,,years,31.2,informative,,common,count,,material,color,,,inanimate,solid,no,6,3D,61.29,,familiarization,,,us/mexico,spanish,,2,forced choice,3,TL,monolingual,,,,,,,,,5.21,29,,,1.90,0.09,0.00,t-test
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,1,17,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,,,3D,0-25,,familiarization,,,us,english,,4,forced choice,2,TL,monolingual,,,,,,,,,,,,,-0.52,0.07,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,2,23,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,,,3D,26-50,,familiarization,,,us,english,,4,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.38,0.05,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,3,19,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,,,3D,50+,,familiarization,,,us,english,,4,forced choice,2,TL,monolingual,,,,,,,,,,,,,-0.53,0.06,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,1,17,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,,,3D,0-25,,familiarization,,,us,english,,4,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.82,0.08,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,2,23,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,,,3D,26-50,,familiarization,,,us,english,,4,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.63,0.05,0.00,graph
114,"Knowledge, performance and task: Décalage and dynamics in young children's noun generalizations","Dobbertin, Brandi N.;Horst, Jessica S.;Samuelson, Larissa K.;Schutte, Anne R.","Dobbertin, Brandi N. et al 2006",1,3,19,21m,,months,21,informative,,common,count,,material,,,,inanimate,solid,,,3D,50+,,familiarization,,,us,english,,4,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.36,0.06,0.00,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,1,14,"2,1y",,,25,neutral,,common,,,material,,,,inanimate,complex solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.21,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,2,14,"2,8y",,,32,neutral,,common,,,material,,,,inanimate,complex solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.29,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,3,14,"4,2y",,,50,neutral,,common,,,material,,,,inanimate,complex solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.70,0.09,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,1,14,"2,1y",,,25,neutral,,common,,,material,,,,inanimate,simple solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.10,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,2,14,"2,8y",,,32,neutral,,common,,,material,,,,inanimate,simple solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.14,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,3,14,"4,2y",,,50,neutral,,common,,,material,,,,inanimate,simple solid,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.37,0.08,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,1,14,"2,1y",,,25,neutral,,common,,,material,,,,inanimate,substance,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,-0.08,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,2,14,"2,8y",,,32,neutral,,common,,,material,,,,inanimate,substance,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.02,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,3,14,"4,2y",,,50,neutral,,common,,,material,,,,inanimate,substance,,,3D,,,familiarization,,,us,english,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,-0.03,0.07,0.00,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,4,14,"2,1y",,,25,neutral,,common,,,material,,,,inanimate,complex solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.17,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,5,15,"2,8y",,,32,neutral,,common,,,material,,,,inanimate,complex solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.43,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,6,14,"4,2y",,,50,neutral,,common,,,material,,,,inanimate,complex solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.18,0.07,0.00,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,4,14,"2,1y",,,25,neutral,,common,,,material,,,,inanimate,simple solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.00,0.07,0.01,graph
161,imai and gentner 1997,"Imai, gentner 1997","Imai, gentner 1997",1,5,15,"2,8y",,,32,neutral,,common,,,material,,,,inanimate,simple solid,,,3D,,,familiarization,,,japan,japanese,pointing,12,forced choice,2,TL,monolingual,,,,,,,,,,,,,0.01,0.07,0.00,graph
